regio,epulettipus,lakastipus,idoszak,atlagár_mFt
Pest,"családi ház, sorház",Használt lakások,2024. IV.,51
Pest,"családi ház, sorház",Használt lakások,2025. I.,54.2
Pest,"családi ház, sorház",Használt lakások,2025. II.,52.9
Pest,"családi ház, sorház",Használt lakások,2025. III.,57.9
Pest,"családi ház, sorház",Használt lakások,2025. IV.,61.5
Pest,többlakásos,Használt lakások,2021. I.,37.8
Pest,többlakásos,Használt lakások,2021. II.,37.7
Pest,többlakásos,Használt lakások,2021. III.,40.4
Pest,többlakásos,Használt lakások,2021. IV.,48
Pest,többlakásos,Használt lakások,2022. I.,46.2
Pest,többlakásos,Használt lakások,2022. II.,48.1
Pest,többlakásos,Használt lakások,2022. III.,50.1
Pest,többlakásos,Használt lakások,2022. IV.,48.3
Pest,többlakásos,Használt lakások,2023. I.,47.6
Pest,többlakásos,Használt lakások,2023. II.,49.5
Pest,többlakásos,Használt lakások,2023. III.,48.3
Pest,többlakásos,Használt lakások,2023. IV.,49.7
Pest,többlakásos,Használt lakások,2024. I.,52.8
Pest,többlakásos,Használt lakások,2024. II.,54.8
Pest,többlakásos,Használt lakások,2024. III.,52.7
Pest,többlakásos,Használt lakások,2024. IV.,54.5
Pest,többlakásos,Használt lakások,2025. I.,58.8
Pest,többlakásos,Használt lakások,2025. II.,60.1
Pest,többlakásos,Használt lakások,2025. III.,65.3
Pest,többlakásos,Használt lakások,2025. IV.,68
Pest,lakótelep,Használt lakások,2021. I.,27.6
Pest,lakótelep,Használt lakások,2021. II.,29.4
Pest,lakótelep,Használt lakások,2021. III.,29.2
Pest,lakótelep,Használt lakások,2021. IV.,36.2
Pest,lakótelep,Használt lakások,2022. I.,35.1
Pest,lakótelep,Használt lakások,2022. II.,39.7
Pest,lakótelep,Használt lakások,2022. III.,44.5
Pest,lakótelep,Használt lakások,2022. IV.,42.4
Pest,lakótelep,Használt lakások,2023. I.,35.6
Pest,lakótelep,Használt lakások,2023. II.,34.4
Pest,lakótelep,Használt lakások,2023. III.,32.4
Pest,lakótelep,Használt lakások,2023. IV.,32
Pest,lakótelep,Használt lakások,2024. I.,35.5
Pest,lakótelep,Használt lakások,2024. II.,35.5
Pest,lakótelep,Használt lakások,2024. III.,37.3
Pest,lakótelep,Használt lakások,2024. IV.,38.9
Pest,lakótelep,Használt lakások,2025. I.,43.1
Pest,lakótelep,Használt lakások,2025. II.,46.5
Pest,lakótelep,Használt lakások,2025. III.,48.2
Pest,lakótelep,Használt lakások,2025. IV.,52.9
Pest,együtt,Használt lakások,2021. I.,36.5
Pest,együtt,Használt lakások,2021. II.,36.6
Pest,együtt,Használt lakások,2021. III.,38.8
Pest,együtt,Használt lakások,2021. IV.,45.7
Pest,együtt,Használt lakások,2022. I.,43.9
Pest,együtt,Használt lakások,2022. II.,46.7
Pest,együtt,Használt lakások,2022. III.,44.9
Pest,együtt,Használt lakások,2022. IV.,43.5
Pest,együtt,Használt lakások,2023. I.,43
Pest,együtt,Használt lakások,2023. II.,44.6
Pest,együtt,Használt lakások,2023. III.,42.7
Pest,együtt,Használt lakások,2023. IV.,44.9
Pest,együtt,Használt lakások,2024. I.,50.9
Pest,együtt,Használt lakások,2024. II.,51.5
Pest,együtt,Használt lakások,2024. III.,49.4
Pest,együtt,Használt lakások,2024. IV.,51.4
Pest,együtt,Használt lakások,2025. I.,55
Pest,együtt,Használt lakások,2025. II.,54.3
Pest,együtt,Használt lakások,2025. III.,58.6
Pest,együtt,Használt lakások,2025. IV.,62
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2021. I.,23.1
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2021. II.,24.4
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2021. III.,23.3
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2021. IV.,24.8
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2022. I.,29.3
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2022. II.,28.9
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2022. III.,27.2
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2022. IV.,26
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2023. I.,28.6
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2023. II.,28.5
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2023. III.,30.2
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2023. IV.,31.5
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2024. I.,34.4
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2024. II.,35.7
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2024. III.,36.5
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2024. IV.,36.9
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2025. I.,40.3
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2025. II.,40.7
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2025. III.,40.5
Közép-Dunántúl,"családi ház, sorház",Használt lakások,2025. IV.,42.9
Közép-Dunántúl,többlakásos,Használt lakások,2021. I.,21.5
Közép-Dunántúl,többlakásos,Használt lakások,2021. II.,21.9
Közép-Dunántúl,többlakásos,Használt lakások,2021. III.,22.3
Közép-Dunántúl,többlakásos,Használt lakások,2021. IV.,22.6
Közép-Dunántúl,többlakásos,Használt lakások,2022. I.,26.9
Közép-Dunántúl,többlakásos,Használt lakások,2022. II.,29
Közép-Dunántúl,többlakásos,Használt lakások,2022. III.,28.1
Közép-Dunántúl,többlakásos,Használt lakások,2022. IV.,26.7
Közép-Dunántúl,többlakásos,Használt lakások,2023. I.,27.4
Közép-Dunántúl,többlakásos,Használt lakások,2023. II.,28.7
Közép-Dunántúl,többlakásos,Használt lakások,2023. III.,29.8
Közép-Dunántúl,többlakásos,Használt lakások,2023. IV.,30.2
Közép-Dunántúl,többlakásos,Használt lakások,2024. I.,32.1
Közép-Dunántúl,többlakásos,Használt lakások,2024. II.,32.1
Közép-Dunántúl,többlakásos,Használt lakások,2024. III.,31.9
Közép-Dunántúl,többlakásos,Használt lakások,2024. IV.,34
Közép-Dunántúl,többlakásos,Használt lakások,2025. I.,36.2
Közép-Dunántúl,többlakásos,Használt lakások,2025. II.,38.7
Közép-Dunántúl,többlakásos,Használt lakások,2025. III.,40.1
Közép-Dunántúl,többlakásos,Használt lakások,2025. IV.,45.6
Közép-Dunántúl,lakótelep,Használt lakások,2021. I.,17.7
Közép-Dunántúl,lakótelep,Használt lakások,2021. II.,18.7
Közép-Dunántúl,lakótelep,Használt lakások,2021. III.,19
Közép-Dunántúl,lakótelep,Használt lakások,2021. IV.,20.8
Közép-Dunántúl,lakótelep,Használt lakások,2022. I.,22.2
Közép-Dunántúl,lakótelep,Használt lakások,2022. II.,24.7
Közép-Dunántúl,lakótelep,Használt lakások,2022. III.,24.6
Közép-Dunántúl,lakótelep,Használt lakások,2022. IV.,24.3
Közép-Dunántúl,lakótelep,Használt lakások,2023. I.,25
Közép-Dunántúl,lakótelep,Használt lakások,2023. II.,25.5
Közép-Dunántúl,lakótelep,Használt lakások,2023. III.,25.9
Közép-Dunántúl,lakótelep,Használt lakások,2023. IV.,25.6
Közép-Dunántúl,lakótelep,Használt lakások,2024. I.,26.8
Közép-Dunántúl,lakótelep,Használt lakások,2024. II.,28.1
Közép-Dunántúl,lakótelep,Használt lakások,2024. III.,28.1
Közép-Dunántúl,lakótelep,Használt lakások,2024. IV.,29.5
Közép-Dunántúl,lakótelep,Használt lakások,2025. I.,30.5
Közép-Dunántúl,lakótelep,Használt lakások,2025. II.,32.9
Közép-Dunántúl,lakótelep,Használt lakások,2025. III.,35.2
Közép-Dunántúl,lakótelep,Használt lakások,2025. IV.,37.3
Közép-Dunántúl,együtt,Használt lakások,2021. I.,21.7
Közép-Dunántúl,együtt,Használt lakások,2021. II.,22.7
Közép-Dunántúl,együtt,Használt lakások,2021. III.,22.3
Közép-Dunántúl,együtt,Használt lakások,2021. IV.,23.4
Közép-Dunántúl,együtt,Használt lakások,2022. I.,27.2
Közép-Dunántúl,együtt,Használt lakások,2022. II.,28.3
Közép-Dunántúl,együtt,Használt lakások,2022. III.,27
Közép-Dunántúl,együtt,Használt lakások,2022. IV.,26
Közép-Dunántúl,együtt,Használt lakások,2023. I.,27.5
Közép-Dunántúl,együtt,Használt lakások,2023. II.,28
Közép-Dunántúl,együtt,Használt lakások,2023. III.,29.4
Közép-Dunántúl,együtt,Használt lakások,2023. IV.,29.8
Közép-Dunántúl,együtt,Használt lakások,2024. I.,31.9
Közép-Dunántúl,együtt,Használt lakások,2024. II.,33.2
Közép-Dunántúl,együtt,Használt lakások,2024. III.,33.4
Közép-Dunántúl,együtt,Használt lakások,2024. IV.,34.3
Közép-Dunántúl,együtt,Használt lakások,2025. I.,36.8
Közép-Dunántúl,együtt,Használt lakások,2025. II.,38.6
Közép-Dunántúl,együtt,Használt lakások,2025. III.,39.1
Közép-Dunántúl,együtt,Használt lakások,2025. IV.,42.2
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2021. I.,20.2
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2021. II.,20.7
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2021. III.,20.5
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2021. IV.,21.8
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2022. I.,25.1
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2022. II.,25.2
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2022. III.,24.3
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2022. IV.,23.4
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2023. I.,25.2
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2023. II.,25.7
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2023. III.,27.3
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2023. IV.,27.7
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2024. I.,32.8
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2024. II.,30.7
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2024. III.,32
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2024. IV.,33.5
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2025. I.,35.7
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2025. II.,34.5
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2025. III.,38
Nyugat-Dunántúl,"családi ház, sorház",Használt lakások,2025. IV.,38
Nyugat-Dunántúl,többlakásos,Használt lakások,2021. I.,22.4
Nyugat-Dunántúl,többlakásos,Használt lakások,2021. II.,23
Nyugat-Dunántúl,többlakásos,Használt lakások,2021. III.,24
Nyugat-Dunántúl,többlakásos,Használt lakások,2021. IV.,24
Nyugat-Dunántúl,többlakásos,Használt lakások,2022. I.,27.8
Nyugat-Dunántúl,többlakásos,Használt lakások,2022. II.,29.1
Nyugat-Dunántúl,többlakásos,Használt lakások,2022. III.,30.5
Nyugat-Dunántúl,többlakásos,Használt lakások,2022. IV.,29.7
Nyugat-Dunántúl,többlakásos,Használt lakások,2023. I.,32.1
Nyugat-Dunántúl,többlakásos,Használt lakások,2023. II.,32.6
Nyugat-Dunántúl,többlakásos,Használt lakások,2023. III.,32.7
Nyugat-Dunántúl,többlakásos,Használt lakások,2023. IV.,31.9
Nyugat-Dunántúl,többlakásos,Használt lakások,2024. I.,36.1
Nyugat-Dunántúl,többlakásos,Használt lakások,2024. II.,36.3
Nyugat-Dunántúl,többlakásos,Használt lakások,2024. III.,38
Nyugat-Dunántúl,többlakásos,Használt lakások,2024. IV.,37.3
Nyugat-Dunántúl,többlakásos,Használt lakások,2025. I.,39.6
Nyugat-Dunántúl,többlakásos,Használt lakások,2025. II.,41.4
Nyugat-Dunántúl,többlakásos,Használt lakások,2025. III.,43.6
Nyugat-Dunántúl,többlakásos,Használt lakások,2025. IV.,45.6
Nyugat-Dunántúl,lakótelep,Használt lakások,2021. I.,19.3
Nyugat-Dunántúl,lakótelep,Használt lakások,2021. II.,19.5
Nyugat-Dunántúl,lakótelep,Használt lakások,2021. III.,20.9
Nyugat-Dunántúl,lakótelep,Használt lakások,2021. IV.,21.4
Nyugat-Dunántúl,lakótelep,Használt lakások,2022. I.,23.9
Nyugat-Dunántúl,lakótelep,Használt lakások,2022. II.,26.2
Nyugat-Dunántúl,lakótelep,Használt lakások,2022. III.,27.2
Nyugat-Dunántúl,lakótelep,Használt lakások,2022. IV.,27.4
Nyugat-Dunántúl,lakótelep,Használt lakások,2023. I.,27.9
Nyugat-Dunántúl,lakótelep,Használt lakások,2023. II.,27.4
Nyugat-Dunántúl,lakótelep,Használt lakások,2023. III.,27.7
Nyugat-Dunántúl,lakótelep,Használt lakások,2023. IV.,27.2
Nyugat-Dunántúl,lakótelep,Használt lakások,2024. I.,29.3
Nyugat-Dunántúl,lakótelep,Használt lakások,2024. II.,30.6
Nyugat-Dunántúl,lakótelep,Használt lakások,2024. III.,31.2
Nyugat-Dunántúl,lakótelep,Használt lakások,2024. IV.,31.8
Nyugat-Dunántúl,lakótelep,Használt lakások,2025. I.,33.8
Nyugat-Dunántúl,lakótelep,Használt lakások,2025. II.,35.3
Nyugat-Dunántúl,lakótelep,Használt lakások,2025. III.,38.1
Nyugat-Dunántúl,lakótelep,Használt lakások,2025. IV.,38.7
Nyugat-Dunántúl,együtt,Használt lakások,2021. I.,20.9
Nyugat-Dunántúl,együtt,Használt lakások,2021. II.,21.3
Nyugat-Dunántúl,együtt,Használt lakások,2021. III.,21.7
Nyugat-Dunántúl,együtt,Használt lakások,2021. IV.,22.6
Nyugat-Dunántúl,együtt,Használt lakások,2022. I.,26
Nyugat-Dunántúl,együtt,Használt lakások,2022. II.,26.6
Nyugat-Dunántúl,együtt,Használt lakások,2022. III.,26.5
Nyugat-Dunántúl,együtt,Használt lakások,2022. IV.,25.8
Nyugat-Dunántúl,együtt,Használt lakások,2023. I.,27.7
Nyugat-Dunántúl,együtt,Használt lakások,2023. II.,28
Nyugat-Dunántúl,együtt,Használt lakások,2023. III.,29
Nyugat-Dunántúl,együtt,Használt lakások,2023. IV.,29
Nyugat-Dunántúl,együtt,Használt lakások,2024. I.,33.6
Nyugat-Dunántúl,együtt,Használt lakások,2024. II.,32.7
Nyugat-Dunántúl,együtt,Használt lakások,2024. III.,34.1
Nyugat-Dunántúl,együtt,Használt lakások,2024. IV.,34.8
Nyugat-Dunántúl,együtt,Használt lakások,2025. I.,37.1
Nyugat-Dunántúl,együtt,Használt lakások,2025. II.,37.2
Nyugat-Dunántúl,együtt,Használt lakások,2025. III.,40.2
Nyugat-Dunántúl,együtt,Használt lakások,2025. IV.,40.9
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2021. I.,14.6
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2021. II.,14.7
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2021. III.,13.7
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2021. IV.,15.7
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2022. I.,16.8
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2022. II.,16.7
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2022. III.,15.2
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2022. IV.,14.5
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2023. I.,15.6
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2023. II.,16.7
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2023. III.,15.7
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2023. IV.,17.3
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2024. I.,20.4
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2024. II.,21.2
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2024. III.,21
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2024. IV.,22.5
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2025. I.,26.1
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2025. II.,24.5
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2025. III.,25.6
Dél-Dunántúl,"családi ház, sorház",Használt lakások,2025. IV.,29.7
Dél-Dunántúl,többlakásos,Használt lakások,2021. I.,19.2
Dél-Dunántúl,többlakásos,Használt lakások,2021. II.,19.4
Dél-Dunántúl,többlakásos,Használt lakások,2021. III.,18.5
Dél-Dunántúl,többlakásos,Használt lakások,2021. IV.,19.8
Dél-Dunántúl,többlakásos,Használt lakások,2022. I.,24
Dél-Dunántúl,többlakásos,Használt lakások,2022. II.,25.5
Dél-Dunántúl,többlakásos,Használt lakások,2022. III.,24.9
Dél-Dunántúl,többlakásos,Használt lakások,2022. IV.,25.3
Dél-Dunántúl,többlakásos,Használt lakások,2023. I.,25.2
Dél-Dunántúl,többlakásos,Használt lakások,2023. II.,26.3
Dél-Dunántúl,többlakásos,Használt lakások,2023. III.,26.1
Dél-Dunántúl,többlakásos,Használt lakások,2023. IV.,28.4
Dél-Dunántúl,többlakásos,Használt lakások,2024. I.,29.9
Dél-Dunántúl,többlakásos,Használt lakások,2024. II.,30.9
Dél-Dunántúl,többlakásos,Használt lakások,2024. III.,30.5
Dél-Dunántúl,többlakásos,Használt lakások,2024. IV.,31.3
Dél-Dunántúl,többlakásos,Használt lakások,2025. I.,35
Dél-Dunántúl,többlakásos,Használt lakások,2025. II.,39.1
Dél-Dunántúl,többlakásos,Használt lakások,2025. III.,38.5
Dél-Dunántúl,többlakásos,Használt lakások,2025. IV.,43
Dél-Dunántúl,lakótelep,Használt lakások,2021. I.,15.5
Dél-Dunántúl,lakótelep,Használt lakások,2021. II.,16.5
Dél-Dunántúl,lakótelep,Használt lakások,2021. III.,17.1
Dél-Dunántúl,lakótelep,Használt lakások,2021. IV.,17.5
Dél-Dunántúl,lakótelep,Használt lakások,2022. I.,20.1
Dél-Dunántúl,lakótelep,Használt lakások,2022. II.,21.5
Dél-Dunántúl,lakótelep,Használt lakások,2022. III.,22.1
Dél-Dunántúl,lakótelep,Használt lakások,2022. IV.,22.2
Dél-Dunántúl,lakótelep,Használt lakások,2023. I.,23.2
Dél-Dunántúl,lakótelep,Használt lakások,2023. II.,22.7
Dél-Dunántúl,lakótelep,Használt lakások,2023. III.,24.4
Dél-Dunántúl,lakótelep,Használt lakások,2023. IV.,23.8
Dél-Dunántúl,lakótelep,Használt lakások,2024. I.,24.7
Dél-Dunántúl,lakótelep,Használt lakások,2024. II.,25.3
Dél-Dunántúl,lakótelep,Használt lakások,2024. III.,26.5
Dél-Dunántúl,lakótelep,Használt lakások,2024. IV.,28
Dél-Dunántúl,lakótelep,Használt lakások,2025. I.,29.8
Dél-Dunántúl,lakótelep,Használt lakások,2025. II.,31.4
Dél-Dunántúl,lakótelep,Használt lakások,2025. III.,34.5
Dél-Dunántúl,lakótelep,Használt lakások,2025. IV.,35.3
Dél-Dunántúl,együtt,Használt lakások,2021. I.,15.9
Dél-Dunántúl,együtt,Használt lakások,2021. II.,16
Dél-Dunántúl,együtt,Használt lakások,2021. III.,15.3
Dél-Dunántúl,együtt,Használt lakások,2021. IV.,16.8
Dél-Dunántúl,együtt,Használt lakások,2022. I.,19.1
Dél-Dunántúl,együtt,Használt lakások,2022. II.,19.1
Dél-Dunántúl,együtt,Használt lakások,2022. III.,17.9
Dél-Dunántúl,együtt,Használt lakások,2022. IV.,17.7
Dél-Dunántúl,együtt,Használt lakások,2023. I.,19
Dél-Dunántúl,együtt,Használt lakások,2023. II.,19.5
Dél-Dunántúl,együtt,Használt lakások,2023. III.,19.2
Dél-Dunántúl,együtt,Használt lakások,2023. IV.,20.9
Dél-Dunántúl,együtt,Használt lakások,2024. I.,23.7
Dél-Dunántúl,együtt,Használt lakások,2024. II.,24.2
Dél-Dunántúl,együtt,Használt lakások,2024. III.,24.3
Dél-Dunántúl,együtt,Használt lakások,2024. IV.,25.9
Dél-Dunántúl,együtt,Használt lakások,2025. I.,29.4
Dél-Dunántúl,együtt,Használt lakások,2025. II.,29
Dél-Dunántúl,együtt,Használt lakások,2025. III.,30.8
Dél-Dunántúl,együtt,Használt lakások,2025. IV.,34
Észak-Magyarország,"családi ház, sorház",Használt lakások,2021. I.,10.6
Észak-Magyarország,"családi ház, sorház",Használt lakások,2021. II.,10.3
Észak-Magyarország,"családi ház, sorház",Használt lakások,2021. III.,10.2
Észak-Magyarország,"családi ház, sorház",Használt lakások,2021. IV.,11
Észak-Magyarország,"családi ház, sorház",Használt lakások,2022. I.,12.5
Észak-Magyarország,"családi ház, sorház",Használt lakások,2022. II.,12.3
Észak-Magyarország,"családi ház, sorház",Használt lakások,2022. III.,11.6
Észak-Magyarország,"családi ház, sorház",Használt lakások,2022. IV.,11.4
Észak-Magyarország,"családi ház, sorház",Használt lakások,2023. I.,12.1
Észak-Magyarország,"családi ház, sorház",Használt lakások,2023. II.,12.9
Észak-Magyarország,"családi ház, sorház",Használt lakások,2023. III.,13
Észak-Magyarország,"családi ház, sorház",Használt lakások,2023. IV.,13.6
Észak-Magyarország,"családi ház, sorház",Használt lakások,2024. I.,16
Észak-Magyarország,"családi ház, sorház",Használt lakások,2024. II.,16.1
Észak-Magyarország,"családi ház, sorház",Használt lakások,2024. III.,15.1
Észak-Magyarország,"családi ház, sorház",Használt lakások,2024. IV.,15.7
Észak-Magyarország,"családi ház, sorház",Használt lakások,2025. I.,18.1
Észak-Magyarország,"családi ház, sorház",Használt lakások,2025. II.,18.2
Észak-Magyarország,"családi ház, sorház",Használt lakások,2025. III.,18.8
Észak-Magyarország,"családi ház, sorház",Használt lakások,2025. IV.,21.5
Észak-Magyarország,többlakásos,Használt lakások,2021. I.,14.3
Észak-Magyarország,többlakásos,Használt lakások,2021. II.,15.2
Észak-Magyarország,többlakásos,Használt lakások,2021. III.,14.6
Észak-Magyarország,többlakásos,Használt lakások,2021. IV.,15.7
Észak-Magyarország,többlakásos,Használt lakások,2022. I.,17.5
Észak-Magyarország,többlakásos,Használt lakások,2022. II.,18.3
Észak-Magyarország,többlakásos,Használt lakások,2022. III.,18.5
Észak-Magyarország,többlakásos,Használt lakások,2022. IV.,17.9
